location,weight
212988663/new-york-new-york/,5
6811413/empire-state-building/,4
1495/washington-square-park/,4
12318445/central-park/,4
3350014/janes-carousel/,3
49695104/brooklyn-bridge/,4
212950988/brooklyn-new-york/,3
3001373/times-square-new-york-city/,4
12318445/central-park/,4
23023/dumbo-brooklyn/,5
213011753/sydney-australia/,3
107711604/portland-oregon/,
212941492/miami-florida/,
4599325/denver-colorado/,
212999109/los-angeles-california/,
213941548/seattle-washington/,
212900916/dallas-texas/,
212983635/san-diego-california/,
325668291147785/5th-avenue-new-york/,
212964995/austin-texas/,
213047202/santa-barbara-california/,
46519841/boulder-colorado/,
44961364/san-francisco-california/,
213100244/barcelona-spain/,
2593354/tour-eiffel/,
213385402/london-united-kingdom/,
6889842/paris-france/,
213359469/munich-germany/,
213193384/shanghai-china/,
234437663/mauna-kea/,
3359467/dragons-teeth/,
5082004/waikiki-hawaii/,
237772602/kalapana-lava-flow/,
213643536/haleakala-national-park/,
966098238/haleakala-crater-maui/,
227282325/kaanapali-hawaii/,
215252242280845/the-royal-hawaiian-a-luxury-collection-resort-waikiki/,
859293155/diamond-head-lookout/,
213953267/honolulu-hawaii/,4
234372191/palace-of-fine-arts/,
1911005002513270/muir-beach-coastal-trail/,
16839381/golden-gate-bridge/,
206698624/boston-massachusetts/,4
214228753/philadelphia-pennsylvania/,
213480180/washington-district-of-columbia/,
204517928/chicago-illinois/,
